,lat,lon,pressure,ASL_Sector_Pres,time
401,-70.5,200.25,970.4879150390625,978.9130859375,2012-09-01
402,-73.5,200.25,972.70703125,981.0086059570312,2012-10-01
403,-70.5,198.75,981.3719482421875,987.31298828125,2012-11-01
404,-64.5,258.0,985.0814208984375,989.4689331054688,2013-01-01
405,-69.75,201.0,975.197509765625,981.4129028320312,2013-02-01
406,-69.0,246.75,969.9722900390625,978.4724731445312,2013-03-01
407,-69.75,264.75,969.0540771484375,980.2345581054688,2013-04-01
408,-66.0,214.5,971.5868530273438,980.5148315429688,2013-05-01
409,-66.75,276.75,973.8272705078125,985.153564453125,2013-06-01
410,-73.5,209.25,974.9912719726562,981.0006713867188,2013-07-01
411,-72.0,253.5,983.38916015625,991.8773803710938,2013-08-01
412,-70.5,245.25,979.156982421875,987.9049072265625,2013-09-01
413,-69.75,219.75,974.9502563476562,980.1266479492188,2013-10-01
414,-69.75,271.5,973.8342895507812,981.7241821289062,2013-11-01
